SED_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SED20804,43,1369,701,285,1734,0.7,1318,2.3
SED20906,40,2500,945,481,2732,0.9,2191,2.6
SED21001,39,2383,814,411,2369,0.9,1836,2.5
SED21106,44,3000,1222,480,3500,0.8,2425,2.4
SED21203,34,1563,486,346,1409,1,1281,3
SED21303,34,2123,1062,411,2721,0.9,2036,2.2
SED21401,44,2400,745,462,2159,0.8,1816,2.6
SED21503,38,2000,749,381,2140,0.8,1754,2.6
SED21608,39,1517,732,290,1889,0.8,1487,2.5
SED21706,38,2600,866,436,2778,0.8,2155,2.6
SED21805,39,1900,853,380,2182,0.8,1744,2.5
SED21906,37,2389,1114,420,2956,0.9,2135,2.3
SED22005,37,2037,700,396,1926,0.9,1686,2.7
SED22105,32,1950,812,383,2022,0.9,1920,3.1
SED22201,39,2000,832,391,2217,0.8,1780,2.5
SED22305,35,1650,606,325,1508,1,1358,2.8
SED22404,46,1704,713,305,1856,0.8,1456,2.4
SED22501,43,2200,963,430,2681,0.8,2302,2.7
SED22607,37,2200,1055,370,2852,0.9,2053,2.3
SED22704,47,1400,673,265,1694,0.7,1302,2.3
SED22802,38,2000,825,392,2227,0.8,1964,2.7
SED22901,41,2000,766,411,2127,0.8,1809,2.7
SED23007,35,1950,801,355,2079,0.9,1738,2.4
SED23101,42,2275,721,438,2181,0.8,1833,2.7
SED23205,40,1800,754,346,1985,0.8,1466,2.3
SED23308,39,1733,820,330,2152,0.8,1526,2.2
SED23402,36,1950,871,371,2231,0.8,1986,2.8
SED23502,50,1300,616,260,1465,0.7,1155,2.3
SED23602,47,1300,652,260,1635,0.7,1248,2.3
SED23702,40,1800,795,351,2084,0.8,1713,2.6
SED23806,38,2600,1187,421,3324,0.9,2313,2.3
SED23901,40,2208,954,396,2646,0.8,2055,2.5
SED24006,42,3010,991,500,3010,0.8,2412,2.7
SED24105,37,2000,675,371,1845,0.9,1737,3
SED24207,34,1900,721,378,1956,0.9,1864,3.2
SED24308,38,1556,677,300,1768,0.8,1408,2.5
SED24408,46,1057,710,210,1710,0.7,1268,2.2
SED24504,45,1950,822,371,2283,0.8,1883,2.6
SED24606,40,2810,1223,426,3457,0.9,2386,2.3
SED24703,30,2000,898,390,2329,1,1609,1.9
SED24808,34,1647,727,330,1819,0.8,1581,2.8
SED24904,41,1213,686,250,1678,0.8,1324,2.4
SED25003,37,1800,753,371,2046,0.8,1849,2.9
