SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED30014,1193,1121,1564,1145,1082,925,670,310,125,8135,9619,6946,8971,8057,8283,7438,5590,2855,1175,58934
SED30015,1304,831,917,803,866,840,691,456,168,6876,10286,5328,6199,5985,6442,6949,5698,3200,960,51047
SED30016,765,473,496,559,632,567,436,293,118,4339,9773,5852,6257,6688,7343,7478,7177,4200,1435,56203
SED30017,703,404,436,393,444,389,281,138,92,3280,9740,5850,6398,6999,6712,6630,5590,2601,974,51494
SED30018,518,348,330,432,384,324,194,108,64,2702,10374,6326,6126,7885,7425,5990,4461,2306,810,51703
SED30019,493,562,856,630,563,435,263,156,92,4050,8353,7775,11576,8806,7962,6266,4148,2281,980,58147
SED30020,1068,693,590,582,670,637,495,283,131,5149,11717,6616,6327,6535,7194,7300,5763,2963,891,55306
SED30021,1773,861,1130,857,932,918,626,287,79,7463,11173,6185,7392,6288,6852,6723,4881,2423,630,52547
SED30022,2210,1154,1360,1164,887,519,290,114,19,7717,22019,11602,14560,13151,10443,7068,4794,1944,397,85978
SED30023,437,419,419,368,461,328,168,88,44,2732,9738,7851,7312,7437,8089,5515,3842,2058,654,52496
SED30024,659,417,577,547,576,535,397,247,112,4067,8225,5023,5689,6278,6489,6450,5576,3004,1359,48093
SED30025,517,395,361,343,411,292,181,87,42,2629,10424,6927,6973,7640,7866,5993,4236,2246,733,53038
SED30026,520,525,423,451,383,260,169,93,65,2889,10743,6809,6987,8063,7546,4879,4008,2273,1036,52344
SED30027,810,481,525,542,529,386,306,183,96,3858,9408,5852,6343,6957,6935,6035,4742,2858,922,50052
SED30028,1037,570,631,681,731,600,356,175,88,4869,10895,6083,6522,6740,7157,6485,4068,1784,576,50310
SED30029,785,702,1072,929,797,611,519,232,73,5720,8380,5109,5293,5957,6978,7461,6703,3124,863,49868
SED30030,500,422,603,462,457,317,240,142,151,3294,9038,7166,10023,8661,7238,5141,3441,1901,1029,53638
SED30031,1060,669,805,841,710,747,412,239,98,5581,8776,4706,5656,5504,5078,4927,2984,1443,419,39493
SED30032,1031,605,550,583,767,782,642,345,124,5429,8853,5274,4948,5528,7034,8809,8413,4204,1196,54259
SED30033,801,483,402,464,563,591,684,567,243,4798,8129,4907,4605,5077,6214,7917,9635,6169,1988,54641
SED30034,1336,948,1241,1072,1091,979,833,455,202,8157,9741,5486,6101,6157,7343,8805,7931,4109,1439,57112
SED30035,1023,542,670,690,714,534,389,201,60,4823,11049,5615,7009,6731,6276,6395,5035,2382,760,51252
SED30036,1332,1159,1997,1671,1019,662,315,188,92,8435,13470,9224,10659,9380,8257,6770,4430,2459,942,65591
SED30037,982,554,594,586,491,414,248,194,181,4244,10364,6392,7460,6708,6209,5744,4111,2442,1081,50511
SED30038,1041,942,997,792,626,460,301,214,87,5460,11107,7301,7375,6889,6905,6313,4663,2540,745,53838
