SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL31793,0,0,0,31,8,0,39,91,0,128
SAL31794,0,0,0,21,0,0,20,62,69,159
SAL31795,27,3,36,476,176,19,670,1618,210,2490
SAL31796,0,0,9,59,17,5,84,240,25,351
SAL31797,0,0,0,28,11,0,36,139,46,219
SAL31798,8,0,9,42,34,0,81,289,27,386
SAL31799,0,0,0,4,3,0,8,14,4,28
SAL31800,4,0,3,17,24,0,40,154,13,209
SAL31801,0,0,0,4,0,0,6,18,5,26
SAL31802,0,0,0,50,19,4,71,152,28,257
SAL31803,4,0,5,38,15,0,54,88,22,166
SAL31804,0,0,0,0,0,0,0,0,0,0
SAL31805,0,0,0,114,36,6,160,456,59,673
SAL31806,0,0,0,53,18,4,79,198,28,304
SAL31807,119,10,131,857,206,25,1085,2317,225,3628
SAL31808,3,0,3,111,25,6,138,213,28,376
SAL31809,6,0,11,567,115,43,726,991,40,1762
SAL31810,4,0,4,11,0,0,14,59,8,85
